replication_id, platform_id, pos_x_km, pos_y_km, waypoint_x_km, waypoint_y_km, timestamp_minutes, team, heading, speed_kmh, status, target_platform_id, detection_made, detection_sensor_name, detection_distance_m
             1, P1         ,     0.00,     0.00,          1.00,          0.00,              0.00, blue,    0.00,     30.00, active,                  0, False         ,                      ,                  
             1, P1         ,     1.00,     0.00,          2.00,          1.00,              1.00, blue,   45.00,     30.00, active,                  0, False         ,                      ,                  
             1, P1         ,     2.00,     1.00,          3.00,          2.00,              2.00, blue,   45.00,     30.00, active,                  0, False         ,                      ,                  
             1, P1         ,     3.00,     2.00,          4.00,          3.00,              3.00, blue,   45.00,     30.00, active,                  0, False         ,                      ,                  
             1, P2         ,     0.00,     5.00,          1.50,          5.00,              0.00, blue,    0.00,     25.00, active,                  0, False         ,                      ,                  
             1, P2         ,     1.50,     5.00,          3.00,          6.50,              1.50, blue,   45.00,     25.00, active,                  0, False         ,                      ,                  
             1, P3         ,     8.00,     8.00,          7.00,          7.00,              0.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             1, P3         ,     7.00,     7.00,          6.00,          6.00,              2.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             1, P3         ,     6.00,     6.00,          5.00,          5.00,              4.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             2, P1         ,     0.00,     0.00,          1.00,          0.00,              0.00, blue,    0.00,     30.00, active,                  0, False         ,                      ,                  
             2, P1         ,     1.00,     0.00,          1.02,          0.01,              0.50, blue,   26.57,     30.00, active,                  0, False         ,                      ,                  
             2, P1         ,     1.02,     0.01,          1.04,          0.02,              1.00, blue,   26.57,     30.00, active,                  0, False         ,                      ,                  
             2, P1         ,     1.04,     0.02,          1.06,          0.03,              1.50, blue,   26.57,     30.00, active,                  0, False         ,                      ,                  
             2, P1         ,     1.06,     0.03,          1.08,          0.04,              2.00, blue,   26.57,     30.00, active,                  0, False         ,                      ,                  
             2, P1         ,     1.08,     0.04,          2.00,          1.00,              2.50, blue,   26.57,     30.00, active,                  3, True          , radar                ,               850.00
             2, P2         ,     0.00,     5.00,          1.50,          5.00,              0.00, blue,    0.00,     25.00, active,                  0, False         ,                      ,                  
             2, P2         ,     1.50,     5.00,          3.00,          6.50,              1.50, blue,   45.00,     25.00, active,                  0, False         ,                      ,                  
             2, P2         ,     3.00,     6.50,          4.50,          8.00,              3.00, blue,   45.00,     25.00, active,                  0, False         ,                      ,                  
             2, P3         ,     8.00,     8.00,          7.50,          7.50,              0.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             2, P3         ,     7.50,     7.50,          7.00,          7.00,              1.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             2, P3         ,     7.00,     7.00,          6.00,          6.00,              2.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
             2, P3         ,     6.00,     6.00,          5.00,          5.00,              3.00, red ,  225.00,     20.00, active,                  0, False         ,                      ,                  
