replication_id, platform_id, pos_x_km, pos_y_km, waypoint_x_km, waypoint_y_km, timestamp_minutes   , team, heading, speed_kmh, status, target_platform_id, detection_made, detection_sensor_name, detection_distance_m
             0, Blue_1     ,     0.01,     0.07,          0.0 ,          0.02, 0.0                 , Blue,     0.0,       0.0, active,                   , False         ,                      , 
             0, Red_1      ,     0.03,     0.02,          0.07,          0.03, 0.0                 , Red ,     0.0,       0.0, active,                   , False         ,                      , 
             0, Blue_1     ,     0.01,     0.07,          0.0 ,          0.02, 0.016666666666666666, Blue,     0.0,       0.0, active,                   , False         ,                      , 
             0, Red_1      ,     0.03,     0.02,          0.07,          0.03, 0.016666666666666666, Red ,     0.0,       0.0, active,                   , False         ,                      , 
             1, Blue_1     ,     0.09,     0.03,          0.03,          0.09, 0.0                 , Blue,     0.0,       0.0, active,                   , False         ,                      , 
             1, Red_1      ,     0.02,     0.04,          0.0 ,          0.08, 0.0                 , Red ,     0.0,       0.0, active,                   , False         ,                      , 
             1, Blue_1     ,     0.09,     0.03,          0.03,          0.09, 0.016666666666666666, Blue,     0.0,       0.0, active,                   , False         ,                      , 
             1, Red_1      ,     0.02,     0.04,          0.0 ,          0.08, 0.016666666666666666, Red ,     0.0,       0.0, active,                   , False         ,                      , 
             2, Blue_1     ,     0.01,     0.03,          0.04,          0.01, 0.0                 , Blue,     0.0,       0.0, active,                   , False         ,                      , 
             2, Red_1      ,     0.06,     0.05,          0.01,          0.04, 0.0                 , Red ,     0.0,       0.0, active,                   , False         ,                      , 
             2, Blue_1     ,     0.01,     0.03,          0.04,          0.01, 0.016666666666666666, Blue,     0.0,       0.0, active,                   , False         ,                      , 
             2, Red_1      ,     0.06,     0.05,          0.01,          0.04, 0.016666666666666666, Red ,     0.0,       0.0, active,                   , False         ,                      , 
