replication_id,platform_id,pos_x_km,pos_y_km,waypoint_x_km,waypoint_y_km,timestamp_minutes,team,heading,speed_kmh,status,target_platform_id,detection_made,detection_sensor_name,detection_distance_m
0,Blue_1,0.9,0.39,0.62,0.22,0.0,Blue,0.0,0.0,active,,False,,
0,Red_1,0.73,0.94,0.37,0.97,0.0,Red,0.0,0.0,active,,False,,
0,Blue_1,0.9,0.39,0.62,0.22,16.666666666666668,Blue,0.0,0.0,active,,False,,
0,Red_1,0.73,0.94,0.37,0.97,16.666666666666668,Red,0.0,0.0,active,,False,,
1,Blue_1,0.93,0.55,0.34,0.23,0.0,Blue,0.0,0.0,active,,False,,
1,Red_1,0.85,0.82,0.26,0.38,0.0,Red,0.0,0.0,active,,False,,
1,Blue_1,0.93,0.55,0.34,0.23,16.666666666666668,Blue,0.0,0.0,active,,False,,
1,Red_1,0.85,0.82,0.26,0.38,16.666666666666668,Red,0.0,0.0,active,,False,,
2,Blue_1,0.79,0.61,0.35,0.87,0.0,Blue,0.0,0.0,active,,False,,
2,Red_1,0.03,0.05,0.89,0.63,0.0,Red,0.0,0.0,active,,False,,
2,Blue_1,0.79,0.61,0.35,0.87,16.666666666666668,Blue,0.0,0.0,active,,False,,
2,Red_1,0.03,0.05,0.89,0.63,16.666666666666668,Red,0.0,0.0,active,,False,,
